country_code,country_name,year,median_ppp_income
AR,Argentina,1995,20176.417023661274
AR,Argentina,1996,20942.770554171853
AR,Argentina,1997,22394.064915940224
AR,Argentina,1998,22856.035566625156
AR,Argentina,1999,21610.244810087173
AR,Argentina,2000,21098.288900996264
AR,Argentina,2001,18492.47199875467
AR,Argentina,2002,14655.420656911581
AR,Argentina,2003,18571.52885429639
AR,Argentina,2004,20386.46733188045
AR,Argentina,2005,21921.486687422166
AR,Argentina,2006,24283.955737858036
AR,Argentina,2007,26807.040065379824
AR,Argentina,2008,25997.28139165629
AR,Argentina,2009,25094.63313200498
AR,Argentina,2010,27370.909122042343
AR,Argentina,2011,30616.92424968867
AR,Argentina,2012,30825.946964508097
AR,Argentina,2013,30023.93083437111
AR,Argentina,2014,28682.389645080948
AR,Argentina,2015,28945.866435242842
AR,Argentina,2016,27555.50660336239
AR,Argentina,2017,28470.721316936488
AR,Argentina,2018,27137.77523038605
AR,Argentina,2019,25151.937166874224
AR,Argentina,2020,22511.010404732253
AR,Argentina,2021,26428.267630759652
AR,Argentina,2022,27568.5705230386
AR,Argentina,2023,26713.65050124533
AU,Australia,1995,52997.51342281879
AU,Australia,1996,54728.411073825504
AU,Australia,1997,57868.39932885906
AU,Australia,1998,59158.87718120806
AU,Australia,1999,60658.95838926176
AU,Australia,2000,62196.86208053692
AU,Australia,2001,62478.319127516785
AU,Australia,2002,63849.40671140939
AU,Australia,2003,64057.11442953021
AU,Australia,2004,64498.43691275168
AU,Australia,2005,65024.34093959733
AU,Australia,2006,65222.20939597316
AU,Australia,2007,65701.26409395973
AU,Australia,2008,65987.86644295302
AU,Australia,2009,64128.155704697994
AU,Australia,2010,64983.44932885907
AU,Australia,2011,66317.79765100671
AU,Australia,2012,67083.18389261745
AU,Australia,2013,68238.52986577182
AU,Australia,2014,67846.6744966443
AU,Australia,2015,67849.20201342282
AU,Australia,2016,70147.70771812082
AU,Australia,2017,69672.5345637584
AU,Australia,2018,71422.20805369127
AU,Australia,2019,72085.95201342282
AU,Australia,2020,73174.7701342282
AU,Australia,2021,74894.92583892618
AU,Australia,2022,74553.16946308725
AU,Australia,2023,75014.26073825503
BR,Brazil,1995,17785.143154761907
BR,Brazil,1996,17694.755952380954
BR,Brazil,1997,17806.75922619048
BR,Brazil,1998,17274.443452380954
BR,Brazil,1999,16636.128869047618
BR,Brazil,2000,17094.469642857144
BR,Brazil,2001,16760.30119047619
BR,Brazil,2002,15874.3625
BR,Brazil,2003,16592.656547619048
BR,Brazil,2004,17350.17976190476
BR,Brazil,2005,17006.484226190478
BR,Brazil,2006,17414.86785714286
BR,Brazil,2007,18921.748214285715
BR,Brazil,2008,19175.616964285713
BR,Brazil,2009,19068.337202380953
BR,Brazil,2010,19701.04761904762
BR,Brazil,2011,19989.101785714283
BR,Brazil,2012,20743.42261904762
BR,Brazil,2013,21675.07529761905
BR,Brazil,2014,21225.94136904762
BR,Brazil,2015,19473.91875
BR,Brazil,2016,20620.77142857143
BR,Brazil,2017,20845.018154761907
BR,Brazil,2018,20550.158928571425
BR,Brazil,2019,21671.232440476193
BR,Brazil,2020,18782.124404761907
BR,Brazil,2021,20301.41398809524
BR,Brazil,2022,20703.232738095237
BR,Brazil,2023,21124.185714285715
CA,Canada,1995,52196.99484126984
CA,Canada,1996,51858.71666666666
CA,Canada,1997,52732.005952380954
CA,Canada,1998,54053.52182539683
CA,Canada,1999,55438.76507936507
CA,Canada,2000,56423.92420634922
CA,Canada,2001,56054.2626984127
CA,Canada,2002,58159.40119047619
CA,Canada,2003,57715.65793650793
CA,Canada,2004,58737.21746031745
CA,Canada,2005,58767.96031746031
CA,Canada,2006,59647.01388888888
CA,Canada,2007,60155.01825396826
CA,Canada,2008,60369.68452380952
CA,Canada,2009,59026.499206349195
CA,Canada,2010,59950.706349206346
CA,Canada,2011,60412.809920634914
CA,Canada,2012,61260.58690476191
CA,Canada,2013,62068.12063492065
CA,Canada,2014,62201.553174603185
CA,Canada,2015,63497.55674603174
CA,Canada,2016,64251.29047619047
CA,Canada,2017,65734.84682539683
CA,Canada,2018,66809.45912698413
CA,Canada,2019,67170.90119047619
CA,Canada,2020,61519.76626984127
CA,Canada,2021,63996.16746031746
CA,Canada,2022,64907.885317460314
CA,Canada,2023,64592.13055555557
CN,China,1995,5278.646011396011
CN,China,1996,5534.655840455841
CN,China,1997,5879.106125356126
CN,China,1998,5734.33660968661
CN,China,1999,5853.968803418803
CN,China,2000,5886.846581196582
CN,China,2001,6080.587891737891
CN,China,2002,6137.606695156695
CN,China,2003,6508.228917378917
CN,China,2004,7091.598717948719
CN,China,2005,7430.032905982907
CN,China,2006,8282.134472934473
CN,China,2007,9269.157549857551
CN,China,2008,9735.692450142451
CN,China,2009,10383.285042735044
CN,China,2010,11116.5207977208
CN,China,2011,11898.383475783476
CN,China,2012,13271.433048433048
CN,China,2013,13024.121652421652
CN,China,2014,14466.145584045586
CN,China,2015,15250.997150997153
CN,China,2016,17944.369230769233
CN,China,2017,18676.68532763533
CN,China,2018,19796.215811965812
CN,China,2019,20863.095868945868
CN,China,2020,20528.37863247863
CN,China,2021,22159.35398860399
CN,China,2022,22224.87962962963
CN,China,2023,23216.577635327638
