country_code,country_name,year,percentile_group,wealth_share
AR,Argentina,1995,bottom_10pct,-0.014
AR,Argentina,1995,bottom_50pct,0.0374
AR,Argentina,1995,top_10pct,0.6186
AR,Argentina,1995,top_1pct,0.2758
AR,Argentina,1995,top_50pct,0.9626
AR,Argentina,1996,bottom_10pct,-0.014
AR,Argentina,1996,bottom_50pct,0.0374
AR,Argentina,1996,top_10pct,0.6186
AR,Argentina,1996,top_1pct,0.2758
AR,Argentina,1996,top_50pct,0.9626
AR,Argentina,1997,bottom_10pct,-0.014
AR,Argentina,1997,bottom_50pct,0.0374
AR,Argentina,1997,top_10pct,0.6186
AR,Argentina,1997,top_1pct,0.2758
AR,Argentina,1997,top_50pct,0.9626
AR,Argentina,1998,bottom_10pct,-0.014
AR,Argentina,1998,bottom_50pct,0.0374
AR,Argentina,1998,top_10pct,0.6187
AR,Argentina,1998,top_1pct,0.2759
AR,Argentina,1998,top_50pct,0.9626
AR,Argentina,1999,bottom_10pct,-0.014
AR,Argentina,1999,bottom_50pct,0.0375
AR,Argentina,1999,top_10pct,0.6186
AR,Argentina,1999,top_1pct,0.2758
AR,Argentina,1999,top_50pct,0.9625
AR,Argentina,2000,bottom_10pct,-0.014
AR,Argentina,2000,bottom_50pct,0.0375
AR,Argentina,2000,top_10pct,0.6186
AR,Argentina,2000,top_1pct,0.2757
AR,Argentina,2000,top_50pct,0.9625
AR,Argentina,2001,bottom_10pct,-0.0141
AR,Argentina,2001,bottom_50pct,0.0361
AR,Argentina,2001,top_10pct,0.6288
AR,Argentina,2001,top_1pct,0.2875
AR,Argentina,2001,top_50pct,0.9639
AR,Argentina,2002,bottom_10pct,-0.0142
AR,Argentina,2002,bottom_50pct,0.0351
AR,Argentina,2002,top_10pct,0.6354000000000001
AR,Argentina,2002,top_1pct,0.2952
AR,Argentina,2002,top_50pct,0.9649
AR,Argentina,2003,bottom_10pct,-0.0141
AR,Argentina,2003,bottom_50pct,0.0381
AR,Argentina,2003,top_10pct,0.6136
AR,Argentina,2003,top_1pct,0.2701
AR,Argentina,2003,top_50pct,0.9619
AR,Argentina,2004,bottom_10pct,-0.0143
AR,Argentina,2004,bottom_50pct,0.0392
AR,Argentina,2004,top_10pct,0.6031000000000001
AR,Argentina,2004,top_1pct,0.2583
AR,Argentina,2004,top_50pct,0.9608
AR,Argentina,2005,bottom_10pct,-0.0145
AR,Argentina,2005,bottom_50pct,0.0398
AR,Argentina,2005,top_10pct,0.5971000000000001
AR,Argentina,2005,top_1pct,0.2516
AR,Argentina,2005,top_50pct,0.9602
AR,Argentina,2006,bottom_10pct,-0.0146
AR,Argentina,2006,bottom_50pct,0.0401
AR,Argentina,2006,top_10pct,0.5942000000000001
AR,Argentina,2006,top_1pct,0.2484
